Suplementary Table S2. Description of samples used to construct phylogenetic trees and temporal network.																									
Canine type	Age(BP)	Cal (BP)	UDG treatment	Location	Region	GenBank Accession Number	Breed	Sample ID	Sample Name (This Study)	Genome Size	Number of known pb	Haplogroup	Haplogroup (in this study)	Source	BEAST and ML trees	Temporal Network									
Wolf	0			Turkey	Middle East	MN071189.1	n/a	Ms6	eWolf77_TR	16737 pb of mt genome	16632 pb of mt genome	n/a	n/a	Loog et al. 2020	?										
Wolf	0			Syria	Middle East	MN071203.1	n/a	Ms20	eWolf81_SY	16734 pb of mt genome	16726 pb of mt genome	n/a	n/a	 Loog et al. 2020	?										
Wolf	0			Spain	Iberian Peninsula	MN071205.1	n/a	Ms22	eWolf83_ES	16737 pb of mt genome	16729 pb of mt genome	n/a	n/a	Loog et al. 2020	?										
																									
Historic																									
Dog	1961-1979	Yes	no	Portugal	Iberian Peninsula	MW916080	n/a	LYEP9	eDog_LYEP9_PT	16727 bp of mt  genome	16718 bp of mt  genome	n/a	A	This study	?	?									
Wolf	1975	no	n/a	Spain	Iberian Peninsula	MW916084	n/a	Cl-H10	eWolf64_ES	16732 pb of mt genome	16580 pb of mt genome	n/a	n/a	This study1	?										
Wolf	1970	no	n/a	Spain	Iberian Peninsula	MW916085	n/a	Cl-H117	eWolf65_ES	16732 pb of mt genome	16647 pb of mt genome	n/a	n/a	This study1	?										
Wolf	1944	no	n/a	Spain	Iberian Peninsula	MW916086	n/a	Cl-H119	eWolf66_ES	16732 pb of mt genome	16675 pb of mt genome	n/a	n/a	This study1	?										
																									
Chalcolithic																									
Dog	4517-4295	yes	no	Leceia, Portugal	Iberian Peninsula	MW916081	n/a	LYEP11	aDog_LYEP11_PT	16727 bp of mt  genome	16720 bp of mt  genome	n/a	A	This study	?	?									
Dog	4800-4290	no (indirect dating)	no	Valladolid, Spain	Iberian Peninsula	MW916082	n/a	LYEP51	aDog_LYEP51_ES	16727 bp of mt  genome	16572 bp of mt  genome	n/a	C	This study	?	?									
Dog	4820-4290	no (indirect dating)	no	Valladolid, Spain	Iberian Peninsula	MW916083	n/a	LYEP53	aDog_LYEP53_ES	16727 bp of mt  genome	16623 bp of mt  genome	n/a	C	This study	?	?									
Dog	5107-5041	no (direct dating, uncalibrated)	no	Tepe Ghela Gap, Iran	Middle East	n/a	n/a	AL2571	aDog_AL2571_IR_HgA	16729 bp of mt  genome	16661  bp of mt  genome	A	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	4500	no	no	Alymas-Podunavlje, Croatia	Europe	n/a	n/a	ALPO01	aDog_ALPO01_HR_HgA	16729 bp of mt  genome	16724  bp of mt  genome	A	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	4260-4180	no (direct dating, uncalibrated)	no	Sotin, Croatia	Europe	n/a	n/a	SOTN01	aDog_SOTN01_HR_HgD	16729 bp of mt  genome	16724  bp of mt  genome	D	n/a	Bergstrom et al. (unpublished data)	?	?									
																									
Neolithic																									
Dog	7173-6990	yes	no	Herxheim, Germany	Europe	KX379529.1	n/a	HXH	aDog_HXH_DE_HgC	16725 bp of mt  genome	16725 bp of mt  genome	C	n/a	Botigué et al. 2017	?	?									
Dog	4850-4582	yes	no	Cherry Tree Cave, Germany	Europe	KX379528.1	n/a	CTC	aDog_CTC_DE_HgC	16722 bp of mt  genome	16722 bp of mt  genome	C	n/a	Botigué et al. 2017	?	?									
Dog	4900-4700 	yes	no	Newgrange, Ireland	Europe	n/a	n/a	NGD	aDog_NGD_IE_HgC	16733  bp of mt  genome	16729 bp of mt  genome	C	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	6030-5966	no (direct dating, uncalibrated)	no	Plo?nik, Serbia	Europe	n/a	n/a	AL2946 	aDog_AL2946_RS_HgD	16726 bp of mt  genome	16418 bp of mt genome	D	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	5000	no	yes	Frälsegården, Gökhem, Sweden	Europe	n/a	n/a	C88	aDog_C88_SE_HgA	16729 bp of mt  genome	16724  bp of mt  genome	A	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	4800	no	yes	Ajvide, Gotland, Sweden	Europe	n/a	n/a	C89	aDog_C89_SE_HgC	16729 bp of mt  genome	16724  bp of mt  genome	C	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	4800	no	yes	Ajvide, Gotland, Sweden	Europe	n/a	n/a	C90	aDog_C90_SE_HgC	16729 bp of mt  genome	16706  bp of mt  genome	C	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	5424-5356	no (direct dating, uncalibrated)	no	Marizulo Cave, Gipuzkoa, Spain	Iberiann Peninsula	n/a	n/a	OL4029	aDog_OL4029_ES_HgC	16697 bp of mt  genome	15703  bp of mt  genome	C	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	5778-5708	no (direct dating, uncalibrated)	no	Skoteini cave, Tharrounia, Euboea Island, Greece	Europe	n/a	n/a	OL4222	aDog_OL4222_GR_HgD	16729 bp of mt  genome	15735  bp of mt  genome	D	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	7000	no	yes	Tel Hreiz, Israel	Middle East	n/a	n/a	THRZ02	aDog_THRZ02_IL_HgA	16729 bp of mt  genome	15164  bp of mt  genome	A	n/a	Bergstrom et al. (unpublished data)	?	?									
																									
Mesolithic																									
Dog	9255-9015	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG7	aDog_CGG7_RU_HgA	16727  bp of mt genome	16716  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	8995-8715	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG5	aDog_CGG5_RU_HgA	16727  bp of mt genome	16717  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	9015-8775	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG1	aDog_CGG1_RU_HgA	16727  bp of mt genome	16716  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	9545-9460	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG9	aDog_CGG9_RU_HgA	16727  bp of mt genome	16715  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	9005-8760 	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG4	aDog_CGG4_RU_HgA	16727  bp of mt genome	16682  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	8960-8910	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG2	aDog_CGG2_RU_HgA	16727  bp of mt genome	16674  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	8635-8480	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG3	aDog_CGG3_RU_HgA	16727  bp of mt genome	16682  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	8995-8660	yes	no	Zhokhov Island, Russia	Russia/Caucasus	dryad.s1k47j4	n/a	CGG8	aDog_CGG8_RU_HgA	16727  bp of mt genome	16617  bp of mt genome	A	n/a	Ní Leathlobhair et al. 2018	?	?									
Dog	6153-6091	no (direct dating, uncalibrated)	yes	Pad' Kalashnikova, Russia	Russia/Caucasus	n/a	n/a	C26	aDog_C26_RU_HgA	16729 bp of mt  genome	16724  bp of mt  genome	A	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	6465-6395	no (direct dating, uncalibrated)	yes	Shamanka II, Russia	Russia/Caucasus	n/a	n/a	C27	aDog_C27_RU_HgC	16726 bp of mt  genome	16691  bp of mt  genome	C	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	9625-9525	no (direct dating, uncalibrated)	no	Veretye, Lake Lacha, Russia	Russia/Caucasus	n/a	n/a	OL4061	aDog_OL4061_RU_HgA	16729 bp of mt  genome	16724 bp of mt  genome	A	n/a	Bergstrom et al. (unpublished data)	?	?									
Dog	6107-6043	no (direct dating, uncalibrated)	no	Pad' Kalashnikova, Russia	Russia/Caucasus	n/a	n/a	OL4223	aDog_OL4223_RU_HgA	16729 bp of mt  genome	16702 bp of mt  genome	A	n/a	Bergstrom et al. (unpublished data)	?	?									
Archaic Canid	6287-6033	yes	no	Trou de Frontal, Belgium	Europe	MK937047.1	n/a	TU4	aWolf32_BE	16430 bp of mt  genome	16139 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	7435-7316	yes	no	Trou de Praules, Belgium	Europe	MK937051.1	n/a	TU8	aWolf35_BE	16430 bp of mt  genome	16416 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
																									
Palaeolithic																									
Dog	12500	no	no	Kartstein cave, Germany	Europe	KF661094.1	n/a	Germany 12,500	aDog_Ger12500_DE_HgC	16714 bp of mt  genome	16239 bp of mt  genome	C	n/a	Thalmann et al. 2013	?	?									
Archaic Canid	15179-14757	yes	no	 Kesslerloch cave, Switzerland	Europe	MK937033.1	n/a	TH7	aWolf2_CH	16390 bp of mt  genome	16289 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	18000	no	no	 Medvezhya cave, Russia	Russia/Caucasus	KF661081.1	n/a	n/a	aWolf3_RU	16726 bp of mt  genome	16415 bp of mt  genome	n/a	n/a	Thalmann et al. 2013	?										
Archaic Canid	29184-28485	yes	no	Goyet cave, Belgium	Europe	MK937029.1	n/a	TH3	aWolf4_BE	16384 bp of mt  genome	16284 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	39387-37576	yes	no	Goyet cave, Belgium	Europe	MK937049.1	n/a	TU6	aWolf5_BE	16430 bp of mt  genome	16415 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	26229-25844	yes	no	Trou des Nutons, Belgium	Europe	MK937027.1	n/a	TH1	aWolf6_BE	16358 bp of mt  genome	15735 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	29272	no	no	Kostenki, Russia	Russia/Caucasus	MK937032.1	n/a	TH6	aWolf7_RU	16398 bp of mt  genome	16379 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	14872-14213	yes	no	 Kesslerloch cave, Switzerland	Europe	MK937023.1	n/a	TH15	aWolf9_CH	16414 bp of mt genome	15667 bp of mt genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	34376-33720	yes	no	Razboinichya cave, Altai, Russia	Russia/Caucasus	MK937020.1	n/a	TH12	aWolf13_RU	16428 bp of mt  genome	16409 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	55643	no	no	Duvannyi Yar, Kolyma river, Russia/Siberia	Russia/Caucasus	MK936995.1	n/a	CGG12	aWolf14_RU	16430 bp of mt  genome	16416 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	33285-32183	yes	no	Yana site, YMAM locality, Russia/Siberia	Russia/Caucasus	MK936997.1	n/a	CGG14	aWolf15_RU	16430 bp of mt  genome	16417 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	33405-32446	yes	no	Yana site, YMAM locality, Russia/Siberia	Russia/Caucasus	MK936998.1	n/a	CGG15	aWolf16_RU	16430 bp of mt  genome	16413 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	28912-28127	yes	no	Yana site, YMAM locality, Russia/Siberia	Russia/Caucasus	MK937000.1	n/a	CGG17	aWolf18_RU	16430 bp of mt  genome	16416 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	42328-41149	yes	no	Yana site area, Upstream Point locality Russia/Siberia	Russia/Caucasus	MK937001.1	n/a	CGG18	aWolf19_RU	16430 bp of mt  genome	16415 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	19940-19480	yes	no	Mus-Khaya exposure, Russia/Siberia	Russia/Caucasus	MK937002.1	n/a	CGG19	aWolf20_RU	16385 bp of mt  genome	16236 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	13765-13555	yes	no	Nikita Lake site, Muksunuokha river, Russia/Siberia	Russia/Caucasus	MK937003.1	n/a	CGG20	aWolf21_RU	16344 bp of mt  genome	15631 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	14394-13555	yes	no	Berelekh geoarchaeological complex, Berelekh river, Russia/Siberia	Russia/Caucasus	MK937004.1	n/a	CGG21	aWolf22_RU	16385 bp of mt  genome	16184 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	31604-31150	yes	no	Yana site, Northern Point Locality, Russia/Siberia	Russia/Caucasus	MK937005.1	n/a	CGG22	aWolf23_RU	16394 bp of mt  genome	16124 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	31757-31090	yes	no	Yana site, Northern Point Locality, Russia/Siberia	Russia/Caucasus	MK937008.1	n/a	CGG25	aWolf24_RU	16402 bp of mt  genome	16275 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	31568-31134	yes	no	Yana site, Northern Point Locality, Russia/Siberia	Russia/Caucasus	MK937009.1	n/a	CGG26	aWolf25_RU	16396 bp of mt  genome	15893 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	33359-32329	yes	no	Yana site, Northern Point Locality, Russia/Siberia	Russia/Caucasus	MK937010.1	n/a	CGG27	aWolf26_RU	16421 bp of mt  genome	16403 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	32333-31183	yes	no	Yana site, Northern Point Locality, Russia/Siberia	Russia/Caucasus	MK937011.1	n/a	CGG28	aWolf27_RU	16389 bp of mt  genome	15185 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	50000-46419	yes	no	Bunge-Toll-1885 site, Yana river, Russia/Siberia	Russia/Caucasus	MK937012.1	n/a	CGG29	aWolf28_RU	16423 bp of mt  genome	16316 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	12957-12717	yes	no	Trou de l'Ours, Belgium	Europe	MK937048.1	n/a	TU5	aWolf33_BE	16430 bp of mt  genome	15364 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	48258-44439	yes	no	Caverne Marie-Jeanne, Belgium	Europe	MK937050.1	n/a	TU7	aWolf34_BE	16430 bp of mt  genome	16415 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	31340-30879	yes	no	 Aghitu, Armenia 	Russia/Caucasus	MK937052.1	n/a	TU9	aWolf36_AM	16430 bp of mt  genome	16298 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	30351-29563	yes	no	 Aghitu, Armenia 	Russia/Caucasus	MK937036.1	n/a	TU10	aWolf37_AM	16430 bp of mt  genome	16411 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	14286-13975	yes	no	 Kesslerloch, Switzerland	Europe	MK937037.1	n/a	TU11	aWolf38_CH	16430 bp of mt  genome	16382 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	14256-13984	yes	no	 Kesslerloch, Switzerland	Europe	MK937039.1	n/a	TU13	aWolf39_CH	16389 bp of mt  genome	16043 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	35659-34142	yes	no	Taymyr, Russia/Siberia	Russia/Caucasus	MK937053.1	n/a	SK1	aWolf42_RU	16430 bp of mt  genome	16416 bp of mt  genome	n/a	n/a	 Loog et al. 2020	?										
Archaic Canid	55000-50000	yes	no	Tirektyakh, Russia/Siberia	Russia/Caucasus	MK937015.1	n/a	CGG32	aWolf43_RU	16415 bp of mt  genome	16192 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	17142-16585	yes	no	Ulakhan Sular, Russia/Siberia	Russia/Caucasus	MK937016.1	n/a	CGG33	aWolf44_RU	16410 bp of mt  genome	16341 bp of mt  genome	n/a	n/a	Loog et al. 2020	?										
Archaic Canid	14372–13759	yes	no	Grotta Paglicci, Italy	Europe	MH376892.1	n/a	paglicci_14000	aWolf45_IT	16351 bp of mt  genome	15044 bp of mt  genome	n/a	n/a	Boschin et al 2020	?										
																									
		References:																							
		Arnason, U. et al. (2007) ‘Mitogenomic analyses of caniform relationships’, Molecular phylogenetics and evolution, 45(3), pp. 863–874. https://doi.org/10.1016/j.ympev.2007.06.019.																							
		Björnerfeldt, S., Webster, M. T. and Vilà, C. (2006) ‘Relaxation of selective constraint on dog mitochondrial DNA following domestication’, Genome research, 16, pp. 990–994. https://doi.org/10.1101/gr.5117706.																							
		Boschin, F. et al. (2020) ‘The first evidence for Late Pleistocene dogs in Italy’, Scientific reports, 10(1), pp. 13313. https://doi.org/10.1038/s41598-020-69940-w.																							
		Botigué, L. R. et al. (2017) ‘Ancient European dog genomes reveal continuity since the Early Neolithic’, Nature Communications, 8, pp. 16082. https://doi.org/10.1038/ncomms16082.																							
		Duleba, A. et al. (2015) ‘Complete mitochondrial genome database and standardized classification system for Canis lupus familiaris’, Forensic science international. Genetics, 19, pp. 123–129. https://doi.org/10.1016/j.fsigen.2015.06.014.																							
		Kim, K. S. et al. (1998) ‘The complete nucleotide sequence of the domestic dog (Canis familiaris) mitochondrial genome’, Molecular phylogenetics and evolution, 10(2), pp. 210–220. https://doi.org/10.1006/mpev.1998.0513.																							
		Koblmüller, S. et al. (2016) ‘Whole mitochondrial genomes illuminate ancient intercontinental dispersals of grey wolves (Canis lupus )’, Journal of biogeography, 43(9), pp. 1728–1738.  https://doi.org/10.1111/jbi.12765.																							
		Loog, L. et al. (2020) ‘Ancient DNA suggests modern wolves trace their origin to a Late Pleistocene expansion from Beringia’, Molecular ecology, 29(9), pp. 1596–1610. https://doi.org/10.1111/mec.15329.																							
		Ní Leathlobhair, M. et al. (2018) ‘The evolutionary history of dogs in the Americas’, Science, 361(6397), pp. 81–85. https://doi.org/10.1126/science.aao4776.																							
		Pang, J.-F. et al. (2009) ‘mtDNA Data Indicate a Single Origin for Dogs South of Yangtze River, Less Than 16,300 Years Ago, from Numerous Wolves’, Molecular biology and evolution, 26(12), pp. 2849–2864. https://doi.org/10.1093/molbev/msp195.																							
		Thalmann, O. et al. (2013) ‘Complete Mitochondrial Genomes of Ancient Canids Suggest a European Origin of Domestic Dogs’, Science, 342(6160), pp. 871–874. https://doi.org/10.1126/science.1243650.																							
		Verscheure, S., Backeljau, T. and Desmyter, S. (2014) ‘Dog mitochondrial genome sequencing to enhance dog mtDNA discrimination power in forensic casework’, Forensic science international. Genetics, 12, pp. 60–68. https://doi.org/10.1016/j.fsigen.2014.05.001.																							
																									
		1 Fasta sequences shared by Raquel Godinho (BIOPOLIS-CIBIO/InBIO-EcoGenomics group)																							
		2 Raw data generated within the framework of a collaboration with Greger Larson (Palaeogenomics & Bio-Archaeology Research Network, School of Archaeology, Oxford, UK)																							
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
